Timestamp,FRIO,ESCL,BALO,POLI,CARR,COLE,ARMA,PUER,AVIO,SATR,SADE,FOTO,BUSE,FILA,ALTO
8/5/2017 10:32:08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1.45
8/5/2017 10:38:16,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,1.54
8/5/2017 10:50:23,Si,No,Si,Si,No,No,Si,No,Si,No,No,Si,No,Si,1.72
8/5/2017 11:00:28,Si,Si,No,No,No,Si,Si,No,Si,Si,No,Si,Si,Si,1.7
8/5/2017 11:00:32,Si,No,No,Si,No,No,No,No,No,No,Si,No,No,No,1.57
8/5/2017 11:01:55,Si,No,Si,Si,No,Si,No,No,No,No,Si,No,Si,No,1.53
8/5/2017 11:08:43,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1.54
8/5/2017 11:11:11,Si,No,No,Si,No,No,Si,No,Si,No,No,No,No,No,1.68
8/5/2017 11:14:46,Si,No,Si,No,Si,Si,Si,Si,Si,No,No,Si,No,Si,1.75
8/5/2017 11:18:55,Si,No,No,No,Si,No,Si,No,No,No,Si,No,No,No,1.56
8/5/2017 11:24:45,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,1.55
8/5/2017 11:27:06,Si,No,Si,Si,No,No,No,No,No,No,No,No,Si,No,1.65
8/5/2017 11:29:44,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,1.49
8/5/2017 11:38:05,Si,No,No,Si,No,Si,Si,No,No,No,No,No,No,No,1.6
8/5/2017 11:42:16,Si,Si,No,No,No,No,No,No,No,No,Si,No,No,No,1.6
8/5/2017 11:49:41,Si,No,No,No,No,Si,Si,No,Si,No,Si,Si,Si,Si,1.67
8/5/2017 11:50:35,Si,Si,No,No,No,Si,No,No,No,Si,No,No,Si,No,1.65
8/5/2017 12:08:53,No,Si,No,No,Si,Si,No,No,Si,Si,No,Si,Si,Si,1.68
